race,id,health,armor,speed,knockback_resistance,step_height,follow_range,shield,attack_damage,anti_air_bonus,attack_anim_ticks,range,cooldown,fly_speed,hover_height,path_length,detect_radius,detect_sweep,detect_reveal,bounce_hits,bounce_falloff,bounce_radius,blast_radius,blast_fuse,build_ticks,cost
protoss,probe,10.0,0.0,0.35,0.0,0.6,48.0,10,,0.0,0,,,,,,,,,,,,,,200,wood 50 | stone 50
protoss,zealot,50.0,0.5,0.25,0.0,0.6,32.0,30,4.0,0.0,10,,,,,,,,,,,,,,200,wood 50 + stone 50
protoss,dragoon,50.0,0.5,0.25,0.0,1.1,32.0,40,10.0,0.0,0,8.0,40,,,,,,,,,,,,200,wood 100 + stone 50
protoss,scout,75.0,0.5,0.25,0.0,0.6,32.0,50,11.0,10.0,0,9.0,30,0.6,4,64.0,,,,,,,,,200,stone 150 + iron 20
protoss,observer,20.0,0.0,0.25,0.0,0.6,32.0,10,,0.0,0,,,0.6,4,64.0,16.0,20,60,,,,,,800,stone 25 + wood 75
protoss,dark_templar,40.0,1.0,0.25,0.0,0.6,32.0,20,20.0,0.0,12,,,,,,,,,,,,,,1000,stone 75 + wood 50 + iron 2
protoss,photon_cannon,50.0,0.0,0.0,1.0,0.6,14.0,50,10.0,0.0,0,14.0,20,,,,16.0,20,60,,,,,,0,none
zerg,drone,10.0,0.0,0.35,0.0,0.6,48.0,10,,0.0,0,,,,,,,,,,,,,,20,any 50
zerg,zergling,17.5,0.0,0.30,0.0,0.6,32.0,0,2.5,0.0,0,,,,,,,,,,,,,,20,any 25
zerg,hydralisk,40.0,0.0,0.25,0.0,0.6,32.0,0,5.0,0.0,10,6.0,20,,,,,,,,,,,,20,any 100
zerg,mutalisk,60.0,0.0,0.25,0.0,0.6,32.0,0,4.5,0.0,0,9.0,30,0.6,4,64.0,,,,3,0.5,5.0,,,20,any 100
zerg,overlord,100.0,0.0,0.15,0.0,0.6,32.0,0,,0.0,0,,,0.35,4,64.0,16.0,20,60,,,,,,800,any 100
zerg,ultralisk,200.0,1.0,0.28,0.0,1.1,32.0,0,10.0,0.0,12,,,,,,,,,,,,,,1200,any 200
zerg,lurker,63.0,1.0,0.25,0.0,0.6,32.0,0,10.0,0.0,12,6.0,40,,,,,,,,,,,,800,any 100
zerg,sunken_colony,150.0,0.0,0.0,1.0,0.6,11.0,0,20.0,0.0,12,11.0,32,,,,,,,,,,,,0,none
zerg,spore_colony,200.0,0.0,0.0,1.0,0.6,14.0,0,7.5,0.0,10,14.0,20,,,,16.0,20,60,,,,,,0,none
zerg,infested_villager,30.0,0.0,0.32,0.0,0.6,32.0,0,250.0,0.0,0,,,,,,,,,,,,3.0,30,0,none
terran,scv,30.0,0.0,0.35,0.0,0.6,48.0,0,3.0,0.0,0,,,,,,,,,,,,,,400,wood 50 | stone 50
terran,marine,20.0,0.0,0.25,0.0,0.6,48.0,0,3.0,0.0,6,5.0,20,,,,,,,,,,,,480,wood 50 | stone 50
terran,firebat,25.0,1.0,0.25,0.0,0.6,48.0,0,8.0,0.0,12,2.0,30,,,,,,,,,,,,480,stone 50 + wood 25
terran,ghost,23.0,0.0,0.25,0.0,0.6,48.0,0,5.0,0.0,8,7.0,30,,,,,,,,,,,,1000,stone 25 + wood 75 + iron 3
terran,wraith,60.0,0.0,0.25,0.0,0.6,48.0,0,2.5,7.5,0,8.0,30,0.6,4,64.0,,,,,,,,,1000,wood 150 + stone 100 + iron 2
terran,bunker,175.0,1.0,0.0,1.0,0.6,32.0,0,,0.0,0,,,,,,,,,,,,,,0,none
terran,missile_turret,100.0,0.0,0.0,1.0,0.6,14.0,0,20.0,0.0,10,14.0,20,,,,16.0,20,60,,,,,,0,none
